runtime,family,variant,feature_set,model,mean_auc,ci_low,ci_high,permutation_baseline,permutation_p_value,episodes,tasks,split
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,RELEASE_TO_SEND,LogisticRegression,0.7578125,0.5642578125,0.94052734375,0.467421875,0.0196078431372549,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,RELEASE_TO_SEND,RandomForest,0.6336805555555556,0.5292751736111111,0.7468315972222221,0.4975651041666667,0.058823529411764705,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,RELEASE_TO_SEND,RandomForest,0.642578125,0.44013671875,0.808984375,0.4798046875,0.0784313725490196,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,SEND_TO_RECEIVE,LogisticRegression,0.8914930555555556,0.8277886284722222,0.9494032118055554,0.5100520833333334,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,SEND_TO_RECEIVE,LogisticRegression,0.69921875,0.566015625,0.8498046875,0.510859375,0.058823529411764705,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,SEND_TO_RECEIVE,RandomForest,0.9322916666666667,0.8978841145833335,0.966455078125,0.5036371527777779,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,SEND_TO_RECEIVE,RandomForest,0.845703125,0.683203125,0.96484375,0.514296875,0.0196078431372549,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,RECEIVER_ARRIVAL,LogisticRegression,0.970486111111111,0.9295464409722223,1.0,0.5028993055555556,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,RECEIVER_ARRIVAL,LogisticRegression,0.94921875,0.8359375,1.0,0.493515625,0.0196078431372549,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,RECEIVER_ARRIVAL,RandomForest,0.9639756944444444,0.9104763454861111,1.0,0.510056423611111,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,RECEIVER_ARRIVAL,RandomForest,0.939453125,0.825537109375,1.0,0.495078125,0.0196078431372549,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,RECEIVER_PROCESS,LogisticRegression,0.8211805555555556,0.6974066840277778,0.9135633680555555,0.5018142361111111,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,RECEIVER_PROCESS,LogisticRegression,0.8671875,0.66455078125,0.9982421875,0.479375,0.0196078431372549,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,RECEIVER_PROCESS,RandomForest,0.96875,0.9200086805555556,0.9991319444444445,0.5092013888888888,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,RECEIVER_PROCESS,RandomForest,0.923828125,0.79169921875,1.0,0.49296875,0.0196078431372549,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,COMMIT_TIME,LogisticRegression,0.5464409722222222,0.4562825520833333,0.6249674479166666,0.5001128472222223,0.27450980392156865,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,COMMIT_TIME,LogisticRegression,0.59765625,0.429296875,0.8493164062499999,0.486640625,0.17647058823529413,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,COMMIT_TIME,RandomForest,0.4500868055555555,0.3602213541666667,0.5526204427083333,0.49453559027777777,0.7843137254901961,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,COMMIT_TIME,RandomForest,0.4453125,0.206640625,0.6540039062499999,0.4846875,0.5882352941176471,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,STRUCTURAL,LogisticRegression,0.3598090277777778,0.23664822048611114,0.45137803819444444,0.4957855902777778,1.0,96,16,GROUPED_TASK_4FOLD
